column_name,value,frequency,category
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,543120.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,684720.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,636240.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,504240.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,616560.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,HBOS,IForest,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,855360.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,680400.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,941520.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,507840.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,769440.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,711840.0,1,"Outlier-KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,609120.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,HBOS,IForest,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,937680.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,618240.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,807600.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,1095840.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,HBOS,ECOD,IForest,ABOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,545760.0,1,"Outlier-Feature Bagging,KNN_median,KNN_mean,KNN_largest,IForest,ABOD"
